meter,first_ts,last_ts,first_cum,last_cum,overall_by_range,robust_sum_diffs,used_total
14381545,2025-06-01 12:15:00,2025-06-08 12:00:00,48909467.0,49553475.0,644008.0,644008.0,644008.0
14381546,2025-06-01 12:15:00,2025-06-08 00:00:00,15592842.0,15777313.0,184471.0,184471.0,184471.0
14381548,2025-06-02 00:00:00,2025-06-07 00:00:00,3564779.0,3612227.0,47448.0,47448.0,47448.0
14381549,2025-06-01 12:15:00,2025-06-08 12:00:00,4289147.0,4338841.0,49694.0,49694.0,49694.0
14381550,2025-05-29 00:00:00,2025-06-07 00:00:00,630832.0,778094.0,147262.0,147262.0,147262.0
14381551,2025-06-02 00:00:00,2025-06-07 00:00:00,4127709.0,4178573.0,50864.0,50864.0,50864.0
14381553,2025-05-29 00:00:00,2025-06-07 00:00:00,2492903.0,2539733.0,46830.0,46830.0,46830.0
14381554,2025-05-29 00:00:00,2025-06-05 00:00:00,20389764.0,20714153.0,324389.0,324389.0,324389.0
14381555,2025-06-02 00:00:00,2025-06-08 00:00:00,3553921.0,3612836.0,58915.0,58915.0,58915.0
14381559,2025-06-01 12:15:00,2025-06-08 06:00:00,661464.0,672901.0,11437.0,11437.0,11437.0
14381560,2025-06-01 12:15:00,2025-06-08 12:00:00,2172769.0,2202689.0,29920.0,29920.0,29920.0
14381561,2025-06-01 12:15:00,2025-06-08 12:00:00,5271867.0,5343370.0,71503.0,71503.0,71503.0
14381563,2025-06-01 12:15:00,2025-06-08 12:00:00,3829615.0,3869049.0,39434.0,39434.0,39434.0
14381564,2025-06-01 12:15:00,2025-06-08 12:00:00,676465.0,700108.0,23643.0,23643.0,23643.0
14381565,2025-06-01 12:15:00,2025-06-08 12:00:00,7008.0,7008.0,0.0,0.0,0.0
14381566,2025-06-01 06:15:00,2025-06-08 00:00:00,21118680.0,21248298.0,129618.0,129618.0,129618.0
14381567,2025-06-01 12:15:00,2025-06-08 12:00:00,13104415.0,13286234.0,181819.0,181819.0,181819.0
14381568,2025-06-01 12:15:00,2025-06-03 06:00:00,2104519.0,2112837.0,8318.0,8318.0,8318.0
14381569,2025-06-01 12:15:00,2025-06-08 12:00:00,6913669.0,7039531.0,125862.0,125862.0,125862.0
14381570,2025-06-01 12:15:00,2025-06-08 12:00:00,11507850.0,11675552.0,167702.0,167702.0,167702.0
14381571,2024-12-01 00:00:00,2025-06-08 00:00:00,400698.0,693007.0,292309.0,292309.0,292309.0
14381573,2025-06-01 06:15:00,2025-06-07 00:00:00,22300580.0,22304468.0,3888.0,3888.0,3888.0
14381575,2025-05-29 00:00:00,2025-06-02 00:00:00,5172024.0,5201519.0,29495.0,29495.0,29495.0
14381576,2025-06-01 00:00:00,2025-06-07 00:00:00,1063367.0,1076226.0,12859.0,12859.0,12859.0
14381577,2025-06-01 00:00:00,2025-06-08 00:00:00,1219880.0,1241334.0,21454.0,21454.0,21454.0
14381579,2025-06-01 12:15:00,2025-06-08 06:00:00,11865253.0,11984822.0,119569.0,119569.0,119569.0
14381581,2025-06-01 12:15:00,2025-06-03 06:00:00,10328720.0,10363553.0,34833.0,34833.0,34833.0
14381582,2025-05-26 00:00:00,2025-06-06 00:00:00,9322193.0,9534928.0,212735.0,212735.0,212735.0
14381583,2025-06-01 12:15:00,2025-06-08 12:00:00,750579.0,762169.0,11590.0,11590.0,11590.0
14381585,2025-06-01 12:15:00,2025-06-03 06:00:00,7359434.0,7371011.0,11577.0,11577.0,11577.0
14381586,2025-06-01 00:00:00,2025-06-01 00:00:00,3754172.0,3754172.0,0.0,0.0,0.0
14381587,2025-06-01 12:15:00,2025-06-05 06:00:00,17399642.0,17597478.0,197836.0,197836.0,197836.0
14381589,2025-06-01 12:15:00,2025-06-08 12:00:00,41161004.0,41691917.0,530913.0,530913.0,530913.0
14381590,2025-06-01 00:00:00,2025-06-06 00:00:00,4767692.0,4803837.0,36145.0,36145.0,36145.0
14381591,2025-06-01 06:15:00,2025-06-08 12:00:00,10442691.0,10616373.0,173682.0,173682.0,173682.0
14381595,2025-06-01 12:15:00,2025-06-08 12:00:00,3278586.0,3313582.0,34996.0,34996.0,34996.0
14381599,2025-06-01 12:15:00,2025-06-08 12:00:00,7835396.0,7962169.0,126773.0,126773.0,126773.0
14381600,2025-05-31 00:00:00,2025-06-04 00:00:00,4297190.0,4331881.0,34691.0,34691.0,34691.0
14381601,2025-06-01 12:15:00,2025-06-03 06:00:00,4716092.0,4735709.0,19617.0,19617.0,19617.0
14381602,2025-06-01 12:15:00,2025-06-08 12:00:00,170298203.0,173170010.0,2871807.0,2871807.0,2871807.0
14381603,2025-05-20 00:00:00,2025-06-06 00:00:00,1565135.0,1613157.0,48022.0,48022.0,48022.0
14381604,2025-06-01 12:15:00,2025-06-03 06:00:00,12348667.0,12383744.0,35077.0,35077.0,35077.0
14381605,2024-10-01 00:00:00,2024-11-01 00:00:00,323290.0,401601.0,78311.0,78311.0,78311.0
14381609,2025-06-01 06:15:00,2025-06-08 00:00:00,2842396.0,2887472.0,45076.0,45076.0,45076.0
14381610,2025-06-01 12:15:00,2025-06-08 12:00:00,3677191.0,3737950.0,60759.0,60759.0,60759.0
14381611,2025-06-01 12:15:00,2025-06-08 12:00:00,7052.0,7052.0,0.0,0.0,0.0
14381612,2025-05-29 00:00:00,2025-06-06 00:00:00,4160380.0,4224633.0,64253.0,64253.0,64253.0
14381613,2025-06-01 12:15:00,2025-06-08 12:00:00,70543436.0,70816124.0,272688.0,272688.0,272688.0
14381616,2025-06-01 12:15:00,2025-06-03 06:00:00,370286.0,371568.0,1282.0,1282.0,1282.0
14381617,2025-06-01 12:15:00,2025-06-08 12:00:00,125289434.0,128328170.0,3038736.0,3038736.0,3038736.0
14381618,2025-06-01 12:15:00,2025-06-08 12:00:00,1563070.0,1696296.0,133226.0,133226.0,133226.0
14381619,2025-06-01 12:15:00,2025-06-08 12:00:00,12043509.0,12146731.0,103222.0,103222.0,103222.0
14381620,2025-06-01 12:15:00,2025-06-05 17:45:00,77153.0,85134.0,7981.0,7981.0,7981.0
14381622,2025-06-01 12:15:00,2025-06-08 12:00:00,118330080.0,120645013.0,2314933.0,2314933.0,2314933.0
14381623,2025-06-01 00:00:00,2025-06-01 00:00:00,20671265.0,20671265.0,0.0,0.0,0.0
14381626,2025-06-01 12:15:00,2025-06-08 12:00:00,12889015.0,13022868.0,133853.0,133853.0,133853.0
14381627,2025-06-01 12:15:00,2025-06-08 12:00:00,20851318.0,21117030.0,265712.0,265712.0,265712.0
14381629,2024-12-01 00:00:00,2025-06-08 00:00:00,1045097.0,1901262.0,856165.0,856165.0,856165.0
14381633,2025-05-31 00:00:00,2025-06-08 00:00:00,39733.0,39995.0,262.0,262.0,262.0
14381634,2025-06-01 12:15:00,2025-06-03 06:00:00,8285160.0,8317928.0,32768.0,32768.0,32768.0
14381635,2025-05-28 00:00:00,2025-06-07 00:00:00,4267728.0,4362163.0,94435.0,94435.0,94435.0
14381636,2025-05-29 00:00:00,2025-06-07 00:00:00,1591104.0,1619526.0,28422.0,28422.0,28422.0
14381637,2025-06-02 00:00:00,2025-06-05 00:00:00,3836863.0,3858113.0,21250.0,21250.0,21250.0
14381638,2025-05-31 18:15:00,2025-06-08 00:00:00,741295.0,751845.0,10550.0,10550.0,10550.0
14381640,2024-12-01 00:00:00,2025-06-08 00:00:00,15671822.0,26778027.0,11106205.0,11106205.0,11106205.0
14381641,2025-06-01 06:15:00,2025-06-07 18:00:00,2239549.0,2277189.0,37640.0,37640.0,37640.0
14381642,2025-05-29 01:45:00,2025-06-05 00:00:00,1530842.0,1560731.0,29889.0,29889.0,29889.0
14381644,2025-05-25 00:00:00,2025-06-08 00:00:00,28918.0,29232.0,314.0,314.0,314.0
14381645,2025-06-01 00:00:00,2025-06-02 00:00:00,6006759.0,6019219.0,12460.0,12460.0,12460.0
14381646,2025-05-28 06:15:00,2025-06-08 00:00:00,12492090.0,12778026.0,285936.0,285936.0,285936.0
14381648,2025-06-01 12:15:00,2025-06-08 12:00:00,19849127.0,20072656.0,223529.0,223529.0,223529.0
14381651,2025-05-26 00:15:00,2025-06-05 00:00:00,585852.0,599602.0,13750.0,13750.0,13750.0
14381654,2025-06-02 00:00:00,2025-06-07 00:00:00,5803870.0,5859852.0,55982.0,55982.0,55982.0
14381655,2025-05-07 00:00:00,2025-06-06 00:00:00,2051518.0,2233562.0,182044.0,182044.0,182044.0
14381658,2025-06-01 12:15:00,2025-06-08 12:00:00,6997.0,6997.0,0.0,0.0,0.0
14381661,2025-06-01 12:15:00,2025-06-08 12:00:00,13822225.0,14061757.0,239532.0,239532.0,239532.0
14381662,2025-06-01 12:15:00,2025-06-08 12:00:00,6989.0,6989.0,0.0,0.0,0.0
14381663,2025-05-25 00:00:00,2025-06-07 00:00:00,14541646.0,14967422.0,425776.0,425776.0,425776.0
14381664,2025-05-31 18:15:00,2025-06-08 12:00:00,6214996.0,6314634.0,99638.0,99638.0,99638.0
14381665,2025-05-29 00:00:00,2025-06-06 00:00:00,6000516.0,6065669.0,65153.0,65153.0,65153.0
14381666,2025-06-01 12:15:00,2025-06-08 12:00:00,631369.0,635391.0,4022.0,4022.0,4022.0
14381667,2025-06-01 00:00:00,2025-06-07 00:00:00,7599510.0,7716662.0,117152.0,117152.0,117152.0
14381668,2025-05-20 00:00:00,2025-06-04 00:00:00,1226335.0,1275076.0,48741.0,48741.0,48741.0
14381669,2025-06-01 12:15:00,2025-06-07 20:00:00,14039805.0,14072533.0,32728.0,32728.0,32728.0
14381671,2025-06-01 12:15:00,2025-06-08 12:00:00,2570481.0,2631909.0,61428.0,61428.0,61428.0
14381674,2025-06-02 00:00:00,2025-06-07 00:00:00,19737042.0,19802637.0,65595.0,65595.0,65595.0
14381675,2025-06-01 06:15:00,2025-06-08 00:00:00,5310895.0,5394926.0,84031.0,84031.0,84031.0
14381676,2025-05-30 18:15:00,2025-06-08 00:00:00,12234250.0,12484384.0,250134.0,250134.0,250134.0
14381678,2025-05-31 00:00:00,2025-06-03 00:00:00,1386447.0,1396168.0,9721.0,9721.0,9721.0
14381679,2025-06-01 12:15:00,2025-06-08 12:00:00,752182.0,766328.0,14146.0,14146.0,14146.0
14381680,2025-06-01 12:15:00,2025-06-08 12:00:00,6151846.0,6248685.0,96839.0,96839.0,96839.0
14381682,2025-05-29 00:00:00,2025-06-07 00:00:00,7223821.0,7427351.0,203530.0,203530.0,203530.0
14381683,2025-06-01 12:15:00,2025-06-08 12:00:00,95125251.0,96536844.0,1411593.0,1411593.0,1411593.0
14381684,2025-06-01 12:15:00,2025-06-08 12:00:00,1609836.0,1635580.0,25744.0,25744.0,25744.0
14381685,2025-06-01 12:15:00,2025-06-08 12:00:00,161031429.0,163998163.0,2966734.0,2966734.0,2966734.0
14381688,2025-06-01 00:00:00,2025-06-01 00:00:00,57289007.0,57289007.0,0.0,0.0,0.0
14381689,2025-06-01 12:15:00,2025-06-08 11:45:00,12564216.0,12619373.0,55157.0,55157.0,55157.0
14381690,2025-06-01 00:00:00,2025-06-08 00:00:00,8494984.0,8567930.0,72946.0,72946.0,72946.0
14381692,2025-06-01 06:15:00,2025-06-08 12:00:00,34579676.0,35036305.0,456629.0,456629.0,456629.0
14381693,2025-06-01 12:15:00,2025-06-03 06:00:00,14612808.0,14682952.0,70144.0,70144.0,70144.0
14381694,2025-06-01 00:00:00,2025-06-05 00:00:00,6597.0,6597.0,0.0,0.0,0.0
14381695,2025-06-01 00:00:00,2025-06-06 00:00:00,18220128.0,18320014.0,99886.0,99886.0,99886.0
14381696,2025-06-01 12:15:00,2025-06-08 12:00:00,41362.0,41370.0,8.0,8.0,8.0
14381698,2025-05-26 00:00:00,2025-06-05 00:00:00,13089013.0,13300908.0,211895.0,211895.0,211895.0
14381699,2025-05-30 18:15:00,2025-06-08 00:00:00,4052268.0,4125846.0,73578.0,73578.0,73578.0
14381700,2025-05-29 00:00:00,2025-06-08 00:00:00,4597038.0,4687459.0,90421.0,90421.0,90421.0
14381701,2025-05-29 06:15:00,2025-06-08 00:00:00,6720553.0,6770170.0,49617.0,49617.0,49617.0
14381702,2025-06-01 12:15:00,2025-06-08 12:00:00,49910629.0,50173782.0,263153.0,263153.0,263153.0
14381704,2025-06-01 12:15:00,2025-06-08 08:00:00,36848990.0,37203276.0,354286.0,354286.0,354286.0
14381705,2025-06-01 12:15:00,2025-06-08 12:00:00,1425261.0,1556495.0,131234.0,131234.0,131234.0
14381706,2025-06-01 12:15:00,2025-06-08 12:00:00,4299337.0,4346131.0,46794.0,46794.0,46794.0
14381707,2025-06-01 06:15:00,2025-06-08 12:00:00,15163706.0,15329639.0,165933.0,165933.0,165933.0
14381708,2025-05-31 00:00:00,2025-06-08 00:00:00,63087878.0,64325320.0,1237442.0,1237442.0,1237442.0
14381709,2025-06-01 12:15:00,2025-06-08 12:00:00,17264432.0,17436223.0,171791.0,171791.0,171791.0
14381710,2025-06-01 00:00:00,2025-06-08 00:00:00,1667307.0,1711320.0,44013.0,44013.0,44013.0
14381712,2024-12-01 00:00:00,2025-06-08 00:00:00,20994.0,420066.0,399072.0,399072.0,399072.0
14381713,2025-06-01 12:15:00,2025-06-08 12:00:00,27368001.0,27462341.0,94340.0,94340.0,94340.0
14381714,2025-06-01 12:15:00,2025-06-08 12:00:00,27637688.0,28133004.0,495316.0,495316.0,495316.0
14381715,2025-06-01 12:15:00,2025-06-05 06:00:00,84392.0,86383.0,1991.0,1991.0,1991.0
14381716,2025-06-01 12:15:00,2025-06-08 12:00:00,1140021.0,1155376.0,15355.0,15355.0,15355.0
14381717,2025-06-01 12:15:00,2025-06-08 12:00:00,62959.0,63077.0,118.0,118.0,118.0
14381718,2025-06-01 00:00:00,2025-06-08 00:00:00,11800904.0,11924426.0,123522.0,123522.0,123522.0
14381719,2025-06-01 00:00:00,2025-06-06 00:00:00,2637716.0,2666557.0,28841.0,28841.0,28841.0
14381720,2025-06-01 12:15:00,2025-06-08 12:00:00,16960014.0,17154851.0,194837.0,194837.0,194837.0
14381721,2025-06-01 12:15:00,2025-06-08 12:00:00,6683409.0,6788429.0,105020.0,105020.0,105020.0
14381723,2025-05-31 00:00:00,2025-06-04 00:00:00,2611137.0,2628669.0,17532.0,17532.0,17532.0
14381724,2025-06-01 12:15:00,2025-06-03 06:00:00,110765.0,111217.0,452.0,452.0,452.0
14381725,2025-06-01 12:15:00,2025-06-08 12:00:00,1291431.0,1291431.0,0.0,0.0,0.0
14381726,2025-05-30 00:00:00,2025-06-04 00:00:00,1650524.0,1685712.0,35188.0,35188.0,35188.0
14381727,2025-06-01 00:00:00,2025-06-02 00:00:00,2472144.0,2500673.0,28529.0,28529.0,28529.0
14381728,2025-06-01 12:15:00,2025-06-08 12:00:00,3043762.0,3100046.0,56284.0,56284.0,56284.0
14381729,2024-12-01 00:00:00,2025-06-08 00:00:00,3427872.0,5060372.0,1632500.0,1632500.0,1632500.0
14381732,2025-05-31 00:00:00,2025-06-06 00:00:00,3033939.0,3067289.0,33350.0,33350.0,33350.0
14381733,2025-06-01 12:15:00,2025-06-03 06:00:00,41213287.0,41385007.0,171720.0,171720.0,171720.0
14381734,2025-06-01 12:15:00,2025-06-08 12:00:00,217459086.0,220756165.0,3297079.0,3297079.0,3297079.0
14381735,2025-06-01 12:15:00,2025-06-08 12:00:00,63029597.0,64087152.0,1057555.0,1057555.0,1057555.0
14381736,2025-06-01 12:15:00,2025-06-08 12:00:00,2472082.0,2507637.0,35555.0,35555.0,35555.0
14381737,2025-06-01 12:15:00,2025-06-03 06:00:00,5210954.0,5243480.0,32526.0,32526.0,32526.0
14381738,2025-06-01 12:15:00,2025-06-08 12:00:00,35892585.0,36602367.0,709782.0,709782.0,709782.0
14381740,2025-06-01 12:15:00,2025-06-08 12:00:00,4789146.0,4799922.0,10776.0,10776.0,10776.0
14381741,2025-06-01 12:15:00,2025-06-08 12:00:00,14549921.0,14787463.0,237542.0,237542.0,237542.0
14460283,2025-06-01 12:15:00,2025-06-08 12:00:00,5417782.0,5505543.0,87761.0,87761.0,87761.0
14460285,2025-05-26 00:00:00,2025-06-06 00:00:00,3947357.0,4045207.0,97850.0,97850.0,97850.0
14460286,2025-06-01 00:00:00,2025-06-03 00:00:00,2782207.0,2793540.0,11333.0,11333.0,11333.0
14460287,2025-06-01 00:00:00,2025-06-07 00:00:00,832532.0,844547.0,12015.0,12015.0,12015.0
14460289,2025-05-16 00:00:00,2025-05-29 00:00:00,3753951.0,3815677.0,61726.0,61726.0,61726.0
14460290,2025-05-31 00:00:00,2025-06-06 00:00:00,2128026.0,2140538.0,12512.0,12512.0,12512.0
14460291,2025-05-20 00:00:00,2025-06-05 00:00:00,1140039.0,1175590.0,35551.0,35551.0,35551.0
14460292,2025-06-01 12:15:00,2025-06-08 12:00:00,1246962.0,1262027.0,15065.0,15065.0,15065.0
14460293,2025-06-02 00:00:00,2025-06-04 00:00:00,1532454.0,1537581.0,5127.0,5127.0,5127.0
14460294,2025-05-30 00:00:00,2025-06-02 00:00:00,1795556.0,1806152.0,10596.0,10596.0,10596.0
14460296,2025-06-03 00:00:00,2025-06-08 00:00:00,2470799.0,2501080.0,30281.0,30281.0,30281.0
14460297,2025-06-01 12:15:00,2025-06-08 12:00:00,2521286.0,2550197.0,28911.0,28911.0,28911.0
14460298,2025-05-31 00:00:00,2025-06-08 00:00:00,1610591.0,1639282.0,28691.0,28691.0,28691.0
14460299,2025-05-27 18:15:00,2025-06-08 12:00:00,1060551.0,1093636.0,33085.0,33085.0,33085.0
14460300,2025-05-26 00:00:00,2025-06-08 00:00:00,5443356.0,5566756.0,123400.0,123400.0,123400.0
14460301,2025-06-04 00:00:00,2025-06-07 00:00:00,1040889.0,1046676.0,5787.0,5787.0,5787.0
14460302,2025-05-30 00:00:00,2025-06-07 00:00:00,2121819.0,2171905.0,50086.0,50086.0,50086.0
14460303,2025-06-01 12:15:00,2025-06-08 00:00:00,5646216.0,5737716.0,91500.0,91500.0,91500.0
14460304,2025-06-01 12:15:00,2025-06-03 06:00:00,2297.0,2297.0,0.0,0.0,0.0
14460305,2025-06-01 12:15:00,2025-06-08 06:00:00,858790.0,873114.0,14324.0,14324.0,14324.0
14460308,2025-06-02 00:00:00,2025-06-08 00:00:00,1778619.0,1801196.0,22577.0,22577.0,22577.0
14460309,2025-05-31 00:00:00,2025-06-08 00:00:00,23416.0,23416.0,0.0,0.0,0.0
14460311,2025-06-02 00:00:00,2025-06-08 00:00:00,1371741.0,1390004.0,18263.0,18263.0,18263.0
14460312,2025-05-04 00:00:00,2025-06-08 00:00:00,587891.0,679067.0,91176.0,91176.0,91176.0
14460313,2025-06-01 12:15:00,2025-06-08 12:00:00,102549.0,103615.0,1066.0,1066.0,1066.0
14460314,2025-05-27 00:00:00,2025-06-07 00:00:00,872717.0,894576.0,21859.0,21859.0,21859.0
14460315,2025-05-25 20:15:00,2025-06-08 00:00:00,1553663.0,1588536.0,34873.0,34873.0,34873.0
14460316,2025-06-01 12:15:00,2025-06-07 16:00:00,3938478.0,3986943.0,48465.0,48465.0,48465.0
14460317,2025-06-02 00:00:00,2025-06-06 00:00:00,3423048.0,3459022.0,35974.0,35974.0,35974.0
14460318,2025-06-01 12:15:00,2025-06-08 12:00:00,3346548.0,3375270.0,28722.0,28722.0,28722.0
14460320,2025-05-30 14:00:00,2025-06-08 12:00:00,2144596.0,2181122.0,36526.0,36526.0,36526.0
14460321,2025-06-01 12:15:00,2025-06-08 12:00:00,1890135.0,1922063.0,31928.0,31928.0,31928.0
14460323,2025-06-01 12:15:00,2025-06-08 12:00:00,3828840.0,3870120.0,41280.0,41280.0,41280.0
14460324,2025-06-01 12:15:00,2025-06-08 12:00:00,3834894.0,3898184.0,63290.0,63290.0,63290.0
14460325,2025-06-02 00:00:00,2025-06-06 00:00:00,3965494.0,4010760.0,45266.0,45266.0,45266.0
14460326,2025-06-01 00:15:00,2025-06-08 00:00:00,2075610.0,2111318.0,35708.0,35708.0,35708.0
14460327,2025-06-01 00:00:00,2025-06-01 00:00:00,4010002.0,4010002.0,0.0,0.0,0.0
14460330,2025-06-03 00:00:00,2025-06-08 00:00:00,827107.0,832592.0,5485.0,5485.0,5485.0
14460331,2025-05-29 00:00:00,2025-06-07 00:00:00,743938.0,752217.0,8279.0,8279.0,8279.0
14460332,2025-06-02 00:00:00,2025-06-07 00:00:00,580814.0,584269.0,3455.0,3455.0,3455.0
14460333,2025-06-01 12:15:00,2025-06-08 12:00:00,6179899.0,6197064.0,17165.0,17165.0,17165.0
14460334,2025-06-01 12:15:00,2025-06-08 12:00:00,1196164.0,1214112.0,17948.0,17948.0,17948.0
14460335,2025-06-01 12:15:00,2025-06-08 12:00:00,2025504.0,2054791.0,29287.0,29287.0,29287.0
14460336,2025-06-01 12:15:00,2025-06-08 00:00:00,785866.0,800676.0,14810.0,14810.0,14810.0
14460338,2025-06-02 00:00:00,2025-06-05 00:00:00,1209892.0,1213852.0,3960.0,3960.0,3960.0
14460339,2025-06-01 00:00:00,2025-06-08 00:00:00,609485.0,620710.0,11225.0,11225.0,11225.0
14460340,2025-05-29 00:15:00,2025-06-08 12:00:00,1022571.0,1051186.0,28615.0,28615.0,28615.0
14460343,2025-06-01 12:15:00,2025-06-08 12:00:00,558698.0,567069.0,8371.0,8371.0,8371.0
14460345,2025-05-15 00:00:00,2025-06-06 00:00:00,2831958.0,2993871.0,161913.0,161913.0,161913.0
14460348,2025-06-01 12:15:00,2025-06-08 12:00:00,1562653.0,1589984.0,27331.0,27331.0,27331.0
14460350,2025-06-01 00:15:00,2025-06-08 12:00:00,1285972.0,1310555.0,24583.0,24583.0,24583.0
14460351,2025-06-01 12:30:00,2025-06-08 12:00:00,2445568.0,2505611.0,60043.0,60043.0,60043.0
14460352,2025-05-30 00:00:00,2025-06-04 00:00:00,1718430.0,1738480.0,20050.0,20050.0,20050.0
14460353,2025-05-27 00:00:00,2025-06-08 00:00:00,260580.0,263504.0,2924.0,2924.0,2924.0
14460354,2025-05-29 00:00:00,2025-06-08 00:00:00,58543.0,59068.0,525.0,525.0,525.0
14460356,2025-06-02 00:00:00,2025-06-08 00:00:00,2807468.0,2835806.0,28338.0,28338.0,28338.0
14460357,2025-06-01 12:15:00,2025-06-08 12:00:00,2304474.0,2342732.0,38258.0,38258.0,38258.0
14460359,2025-05-31 12:15:00,2025-06-07 00:00:00,515146.0,523468.0,8322.0,8322.0,8322.0
14460361,2025-06-01 12:15:00,2025-06-08 12:00:00,3141923.0,3185672.0,43749.0,43749.0,43749.0
14460362,2025-05-30 00:00:00,2025-06-04 00:00:00,4181608.0,4235671.0,54063.0,54063.0,54063.0
14460363,2025-05-27 00:00:00,2025-06-07 00:00:00,1453382.0,1479801.0,26419.0,26419.0,26419.0
14460364,2025-05-09 00:00:00,2025-06-05 00:00:00,2201870.0,2335292.0,133422.0,133422.0,133422.0
14460365,2025-06-04 00:00:00,2025-06-05 00:00:00,1106445.0,1107860.0,1415.0,1415.0,1415.0
14460366,2025-06-01 12:15:00,2025-06-05 06:00:00,1012633.0,1014193.0,1560.0,1560.0,1560.0
14460368,2025-05-30 09:30:00,2025-06-08 00:00:00,3258652.0,3369421.0,110769.0,110769.0,110769.0
14460369,2025-05-27 19:00:00,2025-06-05 00:00:00,2278423.0,2316753.0,38330.0,38330.0,38330.0
14460370,2025-06-01 00:15:00,2025-06-07 00:00:00,3020505.0,3063432.0,42927.0,42927.0,42927.0
14460375,2025-06-01 00:00:00,2025-06-07 00:00:00,1443570.0,1455671.0,12101.0,12101.0,12101.0
14460377,2025-06-01 12:15:00,2025-06-08 00:00:00,1199198.0,1214452.0,15254.0,15254.0,15254.0
14460378,2025-06-01 12:15:00,2025-06-08 12:00:00,1298441.0,1323204.0,24763.0,24763.0,24763.0
14460379,2025-06-01 12:15:00,2025-06-08 12:00:00,2574174.0,2611771.0,37597.0,37597.0,37597.0
14460380,2025-06-01 06:15:00,2025-06-08 12:00:00,8981.0,8984.0,3.0,3.0,3.0
14460381,2025-06-01 00:00:00,2025-06-08 00:00:00,1522590.0,1552019.0,29429.0,29429.0,29429.0
14460383,2025-06-01 12:15:00,2025-06-08 12:00:00,231076.0,231076.0,0.0,0.0,0.0
14460384,2025-06-01 12:15:00,2025-06-08 12:00:00,1469428.0,1487103.0,17675.0,17675.0,17675.0
14460386,2025-05-29 12:15:00,2025-06-08 00:00:00,2441640.0,2496811.0,55171.0,55171.0,55171.0
14460389,2025-06-01 00:15:00,2025-06-08 12:00:00,2653866.0,2705121.0,51255.0,51255.0,51255.0
14460390,2025-06-01 06:15:00,2025-06-08 00:00:00,27921.0,27921.0,0.0,0.0,0.0
14460391,2025-05-30 00:00:00,2025-06-06 00:00:00,1129110.0,1146619.0,17509.0,17509.0,17509.0
14460392,2025-06-01 00:00:00,2025-06-01 00:00:00,1600753.0,1600753.0,0.0,0.0,0.0
14460394,2025-06-01 12:15:00,2025-06-03 06:00:00,3136.0,3136.0,0.0,0.0,0.0
14460395,2025-06-01 00:00:00,2025-06-08 00:00:00,1725095.0,1758048.0,32953.0,32953.0,32953.0
